Spanish	n(m,p,c) --> ['celulares'].	English	n(p,nac) --> ['cell', 'phones'].	{}	1
Spanish	n(m,p,c) --> ['gatos'].	English	n(p,nac) --> ['cats'].	{}	1
Spanish	n(m,p,c) --> ['hombres'].	English	n(p,nac) --> ['men'].	{}	1
Spanish	n(m,p,c) --> ['huevos'].	English	n(p,ac) --> ['eggs'].	{}	1
Spanish	n(m,p,c) --> ['libros'].	English	n(p,nac) --> ['books'].	{}	1
Spanish	n(m,p,c) --> ['maestros'].	English	n(p,nac) --> ['teachers'].	{}	1
Spanish	n(m,p,c) --> ['médicos'].	English	n(p,nac) --> ['doctors'].	{}	1
Spanish	n(m,p,c) --> ['niños'].	English	n(p,nac) --> ['boys'].	{}	1
Spanish	n(m,p,c) --> ['niños'].	English	n(p,nac) --> ['children'].	{}	1
Spanish	n(m,p,c) --> ['peces'].	English	n(p,nac) --> ['fish'].	{}	1
Spanish	n(m,p,c) --> ['periódicos'].	English	n(p,nac) --> ['newspapers'].	{}	1
Spanish	n(m,p,c) --> ['perros'].	English	n(p,nac) --> ['dogs'].	{}	1
Spanish	n(m,p,c) --> ['platos'].	English	n(p,nac) --> ['plates'].	{}	1
Spanish	n(m,p,c) --> ['policías'].	English	n(p,nac) --> ['police', 'officers'].	{}	1
Spanish	n(m,p,c) --> ['sándwiches'].	English	n(p,nac) --> ['sandwiches'].	{}	1
Spanish	n(m,p,c) --> ['sombreros'].	English	n(p,nac) --> ['hats'].	{}	1
Spanish	n(m,p,c) --> ['tazones'].	English	n(p,nac) --> ['bowls'].	{}	1
Spanish	n(m,p,c) --> ['teléfonos'].	English	n(p,nac) --> ['phones'].	{}	1
Spanish	n(m,p,c) --> ['zapatos'].	English	n(p,nac) --> ['shoes'].	{}	1
Spanish	n(m,p,uc) --> ['pantalones'].	English	n(p,uc) --> ['pants'].	{}	1
Spanish	n(m,s,c) --> ['abrigo'].	English	n(s,nac) --> ['coat'].	{}	1
Spanish	n(m,s,c) --> ['adulto'].	English	n(s,ac) --> ['adult'].	{}	1
Spanish	n(m,s,c) --> ['alumno'].	English	n(s,nac) --> ['student'].	{}	1
Spanish	n(m,s,c) --> ['árbol'].	English	n(s,nac) --> ['tree'].	{}	1
Spanish	n(m,s,c) --> ['bolígrafo'].	English	n(s,nac) --> ['pen'].	{}	1
Spanish	n(m,s,c) --> ['caballo'].	English	n(s,nac) --> ['horse'].	{}	1
Spanish	n(m,s,c) --> ['carro'].	English	n(s,nac) --> ['car'].	{}	1
Spanish	n(m,s,c) --> ['celular'].	English	n(s,nac) --> ['cell', 'phone'].	{}	1
Spanish	n(m,s,c) --> ['cielo'].	English	n(s,nac) --> ['sky'].	{}	1
Spanish	n(m,s,c) --> ['gato'].	English	n(s,nac) --> ['cat'].	{}	1
Spanish	n(m,s,c) --> ['hombre'].	English	n(s,nac) --> ['man'].	{}	1
Spanish	n(m,s,c) --> ['huevo'].	English	n(s,ac) --> ['egg'].	{}	1
Spanish	n(m,s,c) --> ['libro'].	English	n(s,nac) --> ['book'].	{}	1
Spanish	n(m,s,c) --> ['maestro'].	English	n(s,nac) --> ['teacher'].	{}	1
Spanish	n(m,s,c) --> ['médico'].	English	n(s,nac) --> ['doctor'].	{}	1
Spanish	n(m,s,c) --> ['niño'].	English	n(s,nac) --> ['boy'].	{}	1
Spanish	n(m,s,c) --> ['niño'].	English	n(s,nac) --> ['child'].	{}	1
Spanish	n(m,s,c) --> ['pasto'].	English	n(s,uc) --> ['grass'].	{}	1
Spanish	n(m,s,c) --> ['periódico'].	English	n(s,nac) --> ['newspaper'].	{}	1
Spanish	n(m,s,c) --> ['perro'].	English	n(s,nac) --> ['dog'].	{}	1
Spanish	n(m,s,c) --> ['pez'].	English	n(s,nac) --> ['fish'].	{}	1
Spanish	n(m,s,c) --> ['plato'].	English	n(s,nac) --> ['plate'].	{}	1
Spanish	n(m,s,c) --> ['policía'].	English	n(s,nac) --> ['police', 'officer'].	{}	1
Spanish	n(m,s,c) --> ['sándwich'].	English	n(s,nac) --> ['sandwich'].	{}	1
Spanish	n(m,s,c) --> ['sol'].	English	n(s,nac) --> ['sun'].	{}	1
Spanish	n(m,s,c) --> ['sombrero'].	English	n(s,nac) --> ['hat'].	{}	1
Spanish	n(m,s,c) --> ['tazón'].	English	n(s,nac) --> ['bowl'].	{}	1
Spanish	n(m,s,c) --> ['teléfono'].	English	n(s,nac) --> ['phone'].	{}	1
Spanish	n(m,s,c) --> ['vestido'].	English	n(s,nac) --> ['dress'].	{}	1
Spanish	n(m,s,uc) --> ['agua'].	English	n(s,uc) --> ['water'].	{}	1
Spanish	n(m,s,uc) --> ['arroz'].	English	n(s,uc) --> ['rice'].	{}	1
Spanish	n(m,s,uc) --> ['café'].	English	n(s,uc) --> ['coffee'].	{}	1
Spanish	n(m,s,uc) --> ['pan'].	English	n(s,uc) --> ['bread'].	{}	1
Spanish	np_bare --> n(G,s,c).	English	np(N,3) --> d(N,C), n(N,C).	{1=>2}	1
Spanish	np_bare --> n(G,s,c).	English	np(p,3) --> n(p,C).	{1=>1}	1
Spanish	np_bare --> n(G,s,c).	English	np(s,3) --> n(s,uc).	{1=>1}	1
Spanish	np(f,p,1) --> ['nosotras'].	English	np(p,1) --> ['we'].	{}	1
Spanish	np(f,p,3) --> ['ellas'].	English	np(p,3) --> ['they'].	{}	1
Spanish	np(f,p,3) --> np(f,s,3), ['y'], np(f,s,3).	English	np(p,3) --> np(s,3), ['and'], np(s,3).	{1=>1, 2=>2}	1
Spanish	np(f,s,3) --> ['ella'].	English	np(s,3) --> ['she'].	{}	1
Spanish	np(G,N,3) --> d(G,N), n(G,N,c), adj(G,N).	English	np(s,3) --> d(s,nac), adj, n(s,nac).	{1=>1, 2=>3, 3=>2}	1
Spanish	np(G,N,3) --> d(G,N), n(G,N,c).	English	np(N,3) --> d(N,C), n(N,C).	{1=>1, 2=>2}	1
Spanish	np(G,N,3) --> d(G,N), n(G,N,uc).	English	np(N,3) --> d(N,C), n(N,C).	{1=>1, 2=>2}	1
Spanish	np(G,N,3) --> n(G,N,uc).	English	np(p,3) --> n(p,C).	{1=>1}	1
Spanish	np(G,N,3) --> n(G,N,uc).	English	np(s,3) --> n(s,uc).	{1=>1}	1
Spanish	np(G,p,3) --> digit, n(G,p,c).	English	np(N,3) --> digit(N), n(N,C).	{1=>1, 2=>2}	1
Spanish	np(G,p,3) --> n(G,p,c), adj(G,p).	English	np(p,3) --> adj, n(p,C).	{1=>2, 2=>1}	1
Spanish	np(G,p,3) --> n(G,p,c).	English	np(p,3) --> n(p,C).	{1=>1}	1
Spanish	np(G,p,3) --> n(G,p,c).	English	np(p,3) --> n(p,C).	{1=>1}	1
Spanish	np(G,p,3) --> ['ustedes'].	English	np(N,2) --> ['you'].	{}	1
Spanish	np(G,s,1) --> ['yo'].	English	np(s,1) --> ['i'].	{}	1
Spanish	np(G,s,3) --> ['usted'].	English	np(N,2) --> ['you'].	{}	1
Spanish	np(m,p,1) --> ['nosotros'].	English	np(p,1) --> ['we'].	{}	1
Spanish	np(m,p,3) --> ['ellos'].	English	np(p,3) --> ['they'].	{}	1
Spanish	np(m,p,3) --> np(f,s,3), ['y'], np(m,s,3).	English	np(p,3) --> np(s,3), ['and'], np(s,3).	{1=>1, 2=>2}	1
Spanish	np(m,p,3) --> np(m,s,3), ['y'], np(f,s,3).	English	np(p,3) --> np(s,3), ['and'], np(s,3).	{1=>1, 2=>2}	1
Spanish	np(m,p,3) --> np(m,s,3), ['y'], np(m,s,3).	English	np(p,3) --> np(s,3), ['and'], np(s,3).	{1=>1, 2=>2}	1
Spanish	np(m,s,3) --> ['él'].	English	np(s,3) --> ['he'].	{}	1
Spanish	prpart --> ['bebiendo'].	English	prpart --> ['drinking'].	{}	1
Spanish	prpart --> ['caminando'].	English	prpart --> ['walking'].	{}	1
Spanish	prpart --> ['cocinando'].	English	prpart --> ['cooking'].	{}	1
Spanish	prpart --> ['comiendo'].	English	prpart --> ['eating'].	{}	1
Spanish	prpart --> ['corriendo'].	English	prpart --> ['running'].	{}	1
Spanish	prpart --> ['durmiendo'].	English	prpart --> ['sleeping'].	{}	1
Spanish	prpart --> ['escribiendo'].	English	prpart --> ['writing'].	{}	1
Spanish	prpart --> ['haciendo'].	English	prpart --> ['doing'].	{}	1
Spanish	prpart --> ['leyendo'].	English	prpart --> ['reading'].	{}	1
Spanish	prpart --> ['manejando'].	English	prpart --> ['driving'].	{}	1
Spanish	prpart --> ['nadando'].	English	prpart --> ['swimming'].	{}	1
Spanish	s --> ['¿'], cuantos(G), n(G,p,c), ['hay', '?'].	English	s --> ['how', 'many'], n(p,C), ['are', 'there', '?'].	{2=>1}	1
